name,height_cm,weight_kg,reach_cm,strikes_per_min,striking_accuracy,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
Tecia Pennington,154.94,52.16,152.4,4.82,0.47,3.53,0.14,0.63,0.1
Raquel Pennington,170.18,61.23,170.18,4.1,0.49,3.32,0.27,0.62,0.6
Justin Pennington,162.56,,,0.0,0.0,0.0,0.0,0.0,0.0
Nick Penner,193.04,92.99,,1.25,0.3,4.6,0.0,0.4,0.0
Jessica Penne,165.1,52.16,170.18,2.63,0.33,5.05,0.18,0.36,0.5
BJ Penn,175.26,70.31,177.8,2.76,0.48,3.2,0.55,0.74,0.5
Cathal Pendred,185.42,77.11,190.5,2.49,0.44,3.01,0.23,0.83,0.4
Drew Pendleton,,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Sherman Pendergarst,185.42,106.59,,1.23,0.36,3.08,1.0,0.0,0.0
Matej Penaz,190.5,83.91,210.82,1.28,0.33,2.55,0.0,0.0,0.0
Felipe Pena,,,,0.0,0.0,0.0,0.0,0.0,0.0
Luis Pena,190.5,70.31,190.5,3.66,0.46,3.12,0.33,0.48,1.2
Julianna Pena,167.64,61.23,175.26,3.25,0.44,2.53,0.56,0.23,0.8
Yan Pellerin,180.34,92.99,,0.59,0.25,0.89,1.0,0.0,0.0
Kurt Pellegrino,172.72,70.31,177.8,2.45,0.43,1.94,0.54,0.69,0.8
Filip Pejic,172.72,61.23,,0.0,0.0,0.88,0.0,0.0,0.0
Willie Peeters,175.26,99.79,,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Peek,175.26,70.31,177.8,4.39,0.53,3.88,0.5,0.52,0.0
Tyson Pedro,190.5,92.99,200.66,2.9,0.59,2.39,0.3,0.5,0.8
Matt Pedro,,,,0.0,0.0,0.0,0.0,0.0,0.0
Carlo Pedersoli Jr.,180.34,77.11,190.5,4.17,0.37,4.12,0.44,0.0,0.0
Andre Pederneiras,172.72,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
Ross Pearson,172.72,70.31,175.26,3.68,0.4,4.09,0.35,0.75,0.0
Joe Pearson,177.8,65.77,,0.59,0.18,3.51,0.0,0.0,4.4
Jonathan Pearce,182.88,65.77,180.34,5.12,0.54,3.32,0.5,0.55,0.8
Roland Payne,175.26,92.99,,0.0,0.0,0.0,0.0,0.0,0.0
Sarah Payant,162.56,52.16,,0.29,0.16,2.06,0.0,0.0,0.0
Estevan Payan,177.8,65.77,,4.25,0.42,3.58,1.0,0.6,0.4
Pawel Pawlak,182.88,77.11,185.42,1.67,0.33,2.22,0.37,0.7,0.0
Sergei Pavlovich,190.5,116.57,213.36,4.54,0.43,3.81,0.4,0.75,0.0
Thomas Paull,170.18,70.31,170.18,7.33,0.33,8.67,0.0,0.0,0.0
Julio Paulino,182.88,77.11,,0.97,0.27,1.87,0.0,0.37,0.5
Zac Pauga,187.96,92.99,193.04,4.46,0.62,2.73,0.07,1.0,0.0
Sam Patterson,190.5,77.11,198.12,3.17,0.41,3.6,1.0,0.33,3.2
Justin Patterson,177.8,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Michael Patt,182.88,92.99,,1.65,0.28,5.53,0.0,0.0,0.0
Alan Patrick,180.34,70.31,187.96,1.82,0.4,2.95,0.33,0.43,0.3
Claude Patrick,180.34,77.11,190.5,1.8,0.55,0.89,0.53,0.84,1.7
Russell Patrick,175.26,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Jorge Patino,172.72,77.11,,1.33,0.3,3.14,0.25,0.5,0.0
Windri Patilima,167.64,70.31,180.34,0.31,0.5,7.64,0.0,0.0,0.0
Jhonoven Pati,185.42,83.91,190.5,2.88,0.53,6.13,1.0,0.0,0.0
Billy Pasulatan,165.1,56.7,167.64,0.65,0.2,5.22,0.0,0.0,4.9
Ramona Pascual,170.18,61.23,167.64,3.87,0.57,8.43,0.19,1.0,0.0
Onassis Parungao,180.34,90.72,,0.0,0.0,0.0,0.0,0.0,0.0
Jonny Parsons,175.26,77.11,175.26,4.65,0.44,4.89,0.0,0.66,0.0
Preston Parsons,180.34,77.11,180.34,3.54,0.51,3.25,0.36,0.71,2.3
Jordan Parsons,175.26,65.77,,3.29,0.4,2.37,0.21,0.5,1.0
Willie Parks,177.8,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Mick Parkin,193.04,120.2,200.66,4.91,0.52,4.15,0.41,0.5,0.3
Tyra Parker,165.1,52.16,,1.5,0.22,9.0,0.0,0.0,0.0
Larry Parker,180.34,92.99,,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Parker,190.5,106.59,,0.0,0.0,0.0,0.0,0.0,0.0
Norman Parke,180.34,70.31,177.8,3.06,0.35,2.88,0.26,0.77,0.0
Jae Hyun Park,172.72,70.31,182.88,0.8,0.63,1.0,0.0,0.22,0.0
HyunSung Park,170.18,56.7,167.64,4.15,0.44,3.43,0.27,1.0,2.6
Harvey Park,182.88,70.31,177.8,3.77,0.5,7.21,0.0,0.0,0.0
JunYong Park,177.8,83.91,185.42,4.77,0.51,3.42,0.47,0.57,0.9
Won Sik Park,180.34,69.85,,2.6,0.43,2.2,0.0,0.0,0.0
Karo Parisyan,177.8,77.11,182.88,2.49,0.41,2.19,0.59,0.59,1.0
Josh Parisian,193.04,120.2,200.66,4.55,0.48,4.88,0.33,0.46,0.2
Ido Pariente,172.72,70.31,,0.0,0.0,2.86,0.0,0.0,0.0
Remco Pardoel,190.5,117.93,,0.0,0.0,0.0,0.0,0.0,0.0
Bryan Pardoe,185.42,92.99,,1.11,0.36,4.59,0.4,0.33,0.0
Joe Pardo,185.42,95.25,,0.0,0.0,0.0,0.0,0.0,0.0
Kathryn Paprocki,160.02,52.16,160.02,1.0,0.23,4.27,0.0,0.0,0.0
Jared Papazian,172.72,61.23,170.18,3.33,0.39,3.81,0.0,0.5,0.0
Alexandre Pantoja,165.1,56.7,170.18,4.41,0.5,3.92,0.47,0.68,0.9
Yuri Panferov,185.42,83.91,182.88,2.33,0.52,0.91,0.0,0.36,0.0
Ruel Panales,165.1,56.7,170.18,2.53,0.51,5.6,0.2,0.5,0.0
Eduardo Pamplona,180.34,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Palling,162.56,64.86,,0.0,0.0,0.0,0.0,0.0,0.0
Tulio Palhares,,81.65,,0.0,0.0,0.0,0.0,0.0,0.0
Rousimar Palhares,172.72,77.11,180.34,1.75,0.51,2.04,0.45,0.0,4.1
Soa Palelei,193.04,120.2,205.74,2.47,0.57,2.68,0.47,0.66,0.0
Sasha Palatnikov,185.42,77.11,182.88,6.69,0.53,5.44,1.0,0.7,0.0
Bart Palaszewski,175.26,65.77,177.8,2.67,0.32,3.97,0.31,0.53,0.5
Ricky Palacios,167.64,65.77,,7.73,0.53,3.27,0.0,1.0,0.0
Jose Palacios,175.26,65.77,,2.67,0.7,1.0,0.0,0.5,1.7
Luis Pajuelo,177.8,65.77,175.26,6.03,0.57,8.2,0.0,0.66,0.0
Fredson Paixao,167.64,65.77,167.64,1.71,0.54,2.31,0.11,0.1,2.2
Dinis Paiva Jr.,175.26,65.77,180.34,2.6,0.41,2.73,0.0,0.81,0.0
Raulian Paiva,172.72,61.23,175.26,4.14,0.42,5.01,0.23,0.77,0.2
Josh Paiva,167.64,56.7,,0.0,0.0,0.0,0.0,0.0,0.0
Dustin Pague,175.26,61.23,187.96,1.65,0.53,2.96,0.44,0.55,2.6
Michael Page,190.5,77.11,200.66,2.53,0.62,1.78,0.2,0.63,0.0
Damacio Page,167.64,61.23,167.64,2.05,0.38,2.47,0.64,0.23,0.9
Chris Padilla,175.26,70.31,187.96,5.8,0.61,4.93,0.75,0.0,1.1
Fernando Padilla,185.42,65.77,193.04,6.07,0.4,5.74,0.0,1.0,0.6
Gary Padilla,180.34,92.99,,2.2,0.27,2.0,0.0,0.5,0.0
Cyrillo Padilha,180.34,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
George Pacurariu,170.18,61.23,,4.69,0.53,2.68,1.0,1.0,5.0
Teemu Packalen,185.42,70.31,190.5,2.57,0.54,3.91,0.25,1.0,1.5
Angel Pacheco,172.72,61.23,177.8,9.5,0.39,11.47,0.0,0.28,0.0
