draws,height_cm,losses,name,reach_cm,stance,strikes_per_min,striking_accuracy,submission_avg,takedown_accuracy,takedown_avg,takedown_defense,weight_kg,wins
,154.94,,Tecia Pennington,152.4,,4.82,0.47,0.1,0.14,3.53,0.63,52.16,
,170.18,,Raquel Pennington,170.18,,4.1,0.49,0.6,0.27,3.32,0.62,61.23,
,162.56,,Justin Pennington,,,0.0,0.0,0.0,0.0,0.0,0.0,,
,193.04,,Nick Penner,,,1.25,0.3,0.0,0.0,4.6,0.4,92.99,
,165.1,,Jessica Penne,170.18,,2.63,0.33,0.5,0.18,5.05,0.36,52.16,
,175.26,,BJ Penn,177.8,,2.76,0.48,0.5,0.55,3.2,0.74,70.31,
,185.42,,Cathal Pendred,190.5,,2.49,0.44,0.4,0.23,3.01,0.83,77.11,
,,,Drew Pendleton,,,0.0,0.0,0.0,0.0,0.0,0.0,65.77,
,185.42,,Sherman Pendergarst,,,1.23,0.36,0.0,1.0,3.08,0.0,106.59,
,190.5,,Matej Penaz,210.82,,1.28,0.33,0.0,0.0,2.55,0.0,83.91,
,,,Felipe Pena,,,0.0,0.0,0.0,0.0,0.0,0.0,,
,190.5,,Luis Pena,190.5,,3.66,0.46,1.2,0.33,3.12,0.48,70.31,
,167.64,,Julianna Pena,175.26,,3.25,0.44,0.8,0.56,2.53,0.23,61.23,
,180.34,,Yan Pellerin,,,0.59,0.25,0.0,1.0,0.89,0.0,92.99,
,172.72,,Kurt Pellegrino,177.8,,2.45,0.43,0.8,0.54,1.94,0.69,70.31,
,172.72,,Filip Pejic,,,0.0,0.0,0.0,0.0,0.88,0.0,61.23,
,175.26,,Willie Peeters,,,0.0,0.0,0.0,0.0,0.0,0.0,99.79,
,175.26,,Trevor Peek,177.8,,4.39,0.53,0.0,0.5,3.88,0.52,70.31,
,190.5,,Tyson Pedro,200.66,,2.9,0.59,0.8,0.3,2.39,0.5,92.99,
,,,Matt Pedro,,,0.0,0.0,0.0,0.0,0.0,0.0,,
