name,height_cm,weight_kg,reach_cm,strikes_per_min,striking_accuracy,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
Cesar Almeida,185.42,83.91,187.96,4.16,0.58,2.32,0.0,0.6,0.3
Lucas Almeida,180.34,65.77,180.34,4.94,0.39,5.04,0.0,0.53,0.0
Jailton Almeida,190.5,92.99,200.66,2.62,0.65,0.89,0.6,0.6,2.4
Estefani Almeida,162.56,56.7,,3.13,0.37,6.07,0.0,0.0,0.0
Ericka Almeida,167.64,52.16,,1.07,0.39,3.33,0.33,0.37,0.0
Thomas Almeida,170.18,65.77,177.8,4.84,0.43,4.93,0.14,0.75,0.0
Magno Almeida,182.88,70.31,,1.67,0.36,2.6,0.0,0.4,5.0
Ricardo Almeida,182.88,77.11,187.96,2.02,0.49,1.2,0.38,0.31,1.2
John Dave Almanza,170.18,56.7,170.18,1.92,0.41,5.75,0.0,0.0,0.0
Bekzat Almakhan,170.18,61.23,172.72,0.2,0.18,4.53,0.0,0.0,0.0
Asu Almabayev,162.56,56.7,165.1,2.32,0.54,1.76,0.42,0.66,1.4
Ben Alloway,180.34,77.11,193.04,1.28,0.49,1.9,0.5,0.26,0.0
Daniel Allen,182.88,70.31,190.5,7.6,0.51,5.87,0.66,1.0,0.0
Brendan Allen,187.96,83.91,190.5,3.55,0.53,3.67,0.38,0.56,1.3
Arnold Allen,172.72,65.77,177.8,3.45,0.41,2.88,0.47,0.75,0.3
George Allen,187.96,92.99,,0.8,0.38,3.1,0.0,0.5,0.0
John Allan,185.42,92.99,190.5,3.56,0.42,5.74,0.71,0.5,0.8
Leon Aliu,182.88,83.91,187.96,6.32,0.5,10.11,0.0,0.0,0.0
Ikram Aliskerov,182.88,83.91,193.04,7.03,0.6,7.27,0.33,0.0,1.8
Nurullo Aliev,177.8,70.31,182.88,2.43,0.45,1.07,0.54,0.0,0.0
Sultan Aliev,180.34,77.11,187.96,1.41,0.45,2.2,0.38,1.0,0.0
Amir Aliakbari,190.5,113.4,,0.0,0.0,0.0,0.0,0.0,0.0
Royce Alger,177.8,90.26,,0.0,0.0,0.0,0.0,0.0,0.0
Bill Algeo,182.88,65.77,185.42,5.88,0.51,4.38,0.5,0.55,0.1
Levi Alford,,,,0.0,0.0,0.0,0.0,0.0,0.0
Pablo Alfonso,172.72,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Olaf Alfonso,187.96,77.11,,1.65,0.38,4.77,0.07,0.22,0.7
Marcio Alexandre Junior,182.88,83.91,190.5,1.61,0.45,2.89,0.2,0.66,0.7
Lucas Alexander,180.34,65.77,185.42,4.69,0.57,2.87,0.0,0.6,0.0
Kenneth Alexander,175.26,70.31,,0.88,0.19,2.2,0.26,0.0,0.0
Houston Alexander,182.88,92.99,182.88,3.06,0.54,3.2,0.57,0.33,0.0
